缺陷编号,标题,模块,缺陷类型,严重程度,优先级,复现步骤,预期结果,实际结果,核实状态,核实证据（代码/测试）,修复批次,修复提交/版本,回归验收方式,备注
BUG-01,输入错误的邀请码出现 2 个重复提示,注册,功能,建议,P2,1.进入注册页 2.输入错误邀请码 3.输入邮箱点获取验证码,只有 1 个提示,存在 2 个提示,已修复·待真机回归,registration_controller.clearInvitationCodeError（bug-01-10 批次）,批次R,0.3.96/2134 正式包,真机回归,CSV 原标注修复完成
BUG-02,用户协议/隐私政策无法查看,登录,功能,一般,P2,1.进入登录页 2.查看用户协议/隐私政策,能正常查看,无法查看,已修复·待真机回归,bug-01-10 批次,批次R,0.3.96/2134 正式包,真机回归,CSV 原标注修复完成
BUG-03,通讯录右侧字母条应从标签下方开始展示,通讯录,UI,一般,P2,1.进入通讯录 2.查看右侧索引条,从标签分区下方开始（参考微信）,索引整块垂直居中、首字母位置随屏高浮动,已修复·待真机回归,contacts_page.dart:496-514；wechat_contact_index.dart:44-72；contacts_bug_0917_test.dart:208,批次C（已随 0.3.102/2142 发布）,dca25721（0.3.102/2144 线上）,真机+widget 断言锚定位置,0.3.95 已修字母拉伸与跳转偏移；剩余为起始锚定；批次C第五轮：两段式精确跳转（分组头 GlobalKey 校正）+ 起始锚定 contactTileHeight*3 已实施
BUG-04,邀请码复制链接打开 404,邀请,功能,严重,P1,1.进入个人信息-邀请码 2.复制链接浏览器打开,能正常打开,打开 404,已修复·待真机回归,bug-01-10 批次（服务端路由）,批次R,0.3.96/2134 正式包,真机回归,CSV 原标注修复完成
BUG-05,我的页保存操作无提示,我的,UX,一般,P2,1.进入我的 2.修改后点保存,有保存成功提示,无提示,已修复·待真机回归,bug-01-10 批次,批次R,0.3.96/2134 正式包,真机回归,CSV 原标注修复完成
BUG-06,全部账单筛选等样式需优化,点钻/账单,UI,一般,P2,1.我的-点钻 2.进入全部账单查看,筛选展示正常可用,展示不合理,已修复·待真机回归,formatLedgerFilterDate/日期分组/重置（bug-01-10 批次）,批次R,0.3.96/2134 正式包,真机回归,CSV 原标注修复完成
BUG-07,勿扰模式后存在多余文字 PRDS30,设置,UI,一般,P2,1.我的-设置-消息与通知 2.查看勿扰模式文字,展示正确,展示 PRDS30,已修复·待真机回归,bug-01-10 批次,批次R,debug 包（已装真机）,真机回归,状态列未回填的遗留项
BUG-08,减少动态效果功能无效,设置,功能,一般,P2,1.我的-设置 2.点减少动态效果,能修改且生效,点击无效,已修复·待真机回归,_MotionSettingsTile + MotionPageRoute 全量替换（bug-01-10 批次）,批次R,debug 包（已装真机）,真机回归,新增页面需 review 防绕过
BUG-09,新增好友时增加的标签在标签中不展示,通讯录/标签,功能,严重,P1,1.新增好友时加标签 2.完成后进标签查看,新标签能展示,不能展示,已修复·待真机回归,request_friend_page_test「new tags created inline and selected→服务端创建」,批次R,debug 包（已装真机）,真机回归,bug-01-10 批次修正测试编码的缺陷行为
BUG-10,黑名单设置无效（状态被重置）,通讯录/黑名单,功能,严重,P1,1.好友设置 2.打开黑名单 3.重进查看,设置生效,状态被重置,已修复·待真机回归,blocked_contacts 投影 + blockList()/unblockContact()；contacts_bug_0917_test.dart:177,批次R,debug 包（已装真机）,真机回归,bug-01-10 批次
BUG-11,黑名单确认按钮名称显示错误,通讯录/黑名单,UI,一般,P2,1.好友设置 2.点黑名单 3.看按钮,展示 取消/确定,展示 取消/删除,已修复·待真机回归,contacts_page.dart:1084-1090（文案定为「加入」）；contacts_bug_0917_test.dart:192,批次A+反馈,工作树（未提交）,真机回归,决策点D1：保留「加入」或改字面「确定」；通知层+未读抑制已修；服务端拒收另列后续；二轮：Matrix 忽略列表同步（服务端已部署），消息不再送达本机；四轮：拉黑/取消拉黑运行时双投影即时生效（batch-b5 包）
BUG-12,更换邮箱操作失败,注册/邮箱,功能,严重,P1,1.注册页输入邮箱下一步 2.点修改邮箱 3.换邮箱点继续验证,更换成功,更换失败,已修复·待真机回归,registration_page.dart:208-214（旧 session 重发旧邮箱）；服务端 identity.py:372-505 无更换端点,批次B（ADR-0074）,工作树（未提交）；服务端已部署 2026-09-19,双端集成测试+真机,决策点D4：新邮箱作废旧 session 重建；受保护变更（authentication），需 ADR+双评审后另立任务；已实施：验证前原地换邮箱（ADR-0074），服务端已部署；2026-09-20：服务端换邮箱端点曾因镜像重建丢失，已重新覆盖 identity.py+registration.py 恢复（导入检查+端点探测通过）
BUG-13,新的朋友页面头像展示为空,通讯录,UI,一般,P2,1.进入新的朋友 2.查看头像,正常展示,展示为空,已修复·待真机回归,contacts_page.dart:2027-2032；user_avatar 兜底首字色块,批次R,当前主干,真机回归,弱网远端头像加载中短暂占位（可接受）
BUG-14,通话气泡需区分语音/视频且可点击重拨,通话,功能,严重,P1,1.聊天页 2.查看已完成的语音/视频通话气泡 3.点击气泡,区分类型+点击重拨,不区分且不可点,已修复·待真机回归,wechat_call_bubble.dart:12/32-36（video 字段未用）；无 onTap；数据链路 callVideo 已备,批次A+反馈,工作树（未提交）,widget 断言类型渲染+fake adapter 回拨,数据链路已具备仅差 UI；按压动效+「正在发起…通话」toast
